polity_code,polity_name,start_year,end_year,polygon_source,polygon_feature_year,polygon_status,overlaps_1860_1961,territory_basis,territory_assumed,priority_review,basis_reason,layerb_data_rows
AEF-1910-1960,French Equatorial Africa (AEF),1910,1960,cshapes-2.0,1938.0,assigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),122
AFG-1800-1893,Afghanistan (to 1893),1800,1893,cshapes-2.0,1888.0,assigned,True,assumed_constant,True,False,single 1888 polygon held across a 93y span (1800-1893); borders may have changed,0
AFG-1893-1919,Afghanistan (1893-1919),1893,1919,cshapes-2.0,1893.0,assigned,True,assumed_constant,True,False,single 1893 polygon held across a 26y span (1893-1919); borders may have changed,0
AFG-1919-2025,Afghanistan,1919,2025,cshapes-2.0,1919.0,assigned,True,assumed_constant,True,False,single 1919 polygon held across a 106y span (1919-2025); borders may have changed,84
AGO-1816-2025,Angola,1816,2025,cshapes-2.0,1905.0,assigned,True,assumed_constant,True,True,single 1905 polygon held across a 209y span (1816-2025); borders may have changed,494
ALB-1913-2025,Albania (1913-2025),1913,2025,cshapes-2.0,1913.0,assigned,True,assumed_constant,True,True,single 1913 polygon held across a 112y span (1913-2025); borders may have changed,534
AMI-1946-1953,Amami Islands (US-administered),1946,1953,,,unassigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),0
AND-1800-2025,Andorra,1800,2025,cshapes-europe,1816.0,assigned,True,assumed_constant,True,True,single 1816 polygon held across a 225y span (1800-2025); borders may have changed,4
ANG-1800-1890,Angola (to 1890),1800,1890,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,False,single 1886 polygon held across a 90y span (1800-1890); borders may have changed,0
ANG-1890-1891,Angola (1890-1891),1890,1891,cshapes-2.0,1886.0,assigned,True,back_projected,True,False,polygon vintage 1886 is BEFORE the period starts (1890),0
ANG-1891-1905,Angola (1891-1905),1891,1905,cshapes-2.0,1890.0,assigned,True,back_projected,True,False,polygon vintage 1890 is BEFORE the period starts (1891),0
ANG-1905-1975,Angola (1905-1975),1905,1975,cshapes-2.0,1905.0,assigned,True,assumed_constant,True,False,single 1905 polygon held across a 70y span (1905-1975); borders may have changed,0
ANT-1816-1960,Dutch Caribbean (colonial),1816,1960,gadm-4.1,2024.0,assigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),50
ANT-1961-2010,Netherlands Antilles,1961,2010,reporting-areas,,derived,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
AOF-1895-1960,French West Africa (AOF),1895,1960,constructed,1938.0,assigned,True,assumed_constant,True,False,single 1938 polygon held across a 65y span (1895-1960); borders may have changed,162
ARE-1892-2025,United Arab Emirates,1892,2025,cshapes-2.0,1913.0,assigned,True,assumed_constant,True,False,single 1913 polygon held across a 133y span (1892-2025); borders may have changed,0
ARG-1800-2025,Argentina,1800,2025,cshapes-2.0,1902.0,assigned,True,assumed_constant,True,True,single 1902 polygon held across a 225y span (1800-2025); borders may have changed,4216
ARM-1991-2025,Armenia,1991,2025,cshapes-2.0,1991.0,assigned,False,assumed_constant,True,False,single 1991 polygon held across a 34y span (1991-2025); borders may have changed,0
ASH-1800-1896,Ashanti Empire,1800,1896,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
ATG-1800-2025,Antigua and Barbuda,1800,2025,gadm-4.1-adm0,,proxy,True,assumed_constant,True,False,polygon present but no recorded vintage year,122
AUH-1800-1859,Austrian Empire (to 1859),1800,1859,cliopatria,1820.0,assigned,False,assumed_constant,True,False,single 1820 polygon held across a 59y span (1800-1859); borders may have changed,0
AUH-1859-1866,Austrian Empire (1859-1866),1859,1866,cliopatria,1860.0,assigned,True,measured,False,False,vintage 1860 faithful to period 1859-1866,0
AUH-1866-1908,Austria-Hungary (1866-1908),1866,1908,cliopatria,1880.0,assigned,True,assumed_constant,True,False,single 1880 polygon held across a 42y span (1866-1908); borders may have changed,0
AUH-1908-1918,Austria-Hungary (1908-1918),1908,1918,cshapes-2.0,1908.0,assigned,True,measured,False,False,vintage 1908 faithful to period 1908-1918,0
AUS-1800-1901,Australian Colonies (to 1901),1800,1901,cshapes-2.0,1901.0,proxy,True,assumed_constant,True,True,single 1901 polygon held across a 101y span (1800-1901); borders may have changed,733
AUS-1901-2025,Australia,1901,2025,cshapes-2.0,1927.0,assigned,True,assumed_constant,True,True,single 1927 polygon held across a 124y span (1901-2025); borders may have changed,2393
AUSA-1836-1900,South Australia (to 1900),1836,1900,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 64y span (1836-1900); borders may have changed,195
AUT-1800-1918,Austria (Cisleithania),1800,1918,histogis-1860-habsburg,,assigned,True,assumed_constant,True,True,polygon present but no recorded vintage year,1217
AUT-1918-1919,Austria (1918-1919),1918,1919,cshapes-2.0,1918.0,assigned,True,measured,False,False,vintage 1918 faithful to period 1918-1919,30
AUT-1919-2025,Austria,1919,2025,cshapes-2.0,1919.0,assigned,True,assumed_constant,True,True,single 1919 polygon held across a 106y span (1919-2025); borders may have changed,2085
AUWA-1829-1900,Western Australia (to 1900),1829,1900,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 71y span (1829-1900); borders may have changed,195
AZE-SSR-1920-1991,Azerbaijan SSR,1920,1991,cshapes-2.0,1991.0,proxy,True,unassigned,True,False,no polygon (honest gap; never a false territory),27
AZE-1991-2025,Azerbaijan,1991,2025,cshapes-2.0,1991.0,assigned,False,assumed_constant,True,False,single 1991 polygon held across a 34y span (1991-2025); borders may have changed,0
BCM-1916-1961,British Cameroons,1916,1961,cshapes-2.0,1953.0,assigned,True,assumed_constant,True,False,single 1953 polygon held across a 45y span (1916-1961); borders may have changed,23
BDI-1962-2025,Burundi,1962,2025,cshapes-2.0,1962.0,assigned,False,assumed_constant,True,False,single 1962 polygon held across a 63y span (1962-2025); borders may have changed,0
BDK-1800-1890,Kingdom of Burundi,1800,1890,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BEC-1885-1966,Bechuanaland Protectorate (1885-1966),1885,1966,none,,missing,True,unassigned,True,False,no polygon (honest gap; never a false territory),176
BEL-1831-2025,Belgium,1831,2025,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 194y span (1831-2025); borders may have changed; footnote coverage caveat (FAO/IIA yearbook),2475
BEN-1895-1898,Benin (1895-1898),1895,1898,cshapes-2.0,1895.0,assigned,True,measured,False,False,vintage 1895 faithful to period 1895-1898,0
BEN-1898-1960,Benin (1898-1960),1898,1960,cshapes-2.0,1898.0,assigned,True,assumed_constant,True,False,single 1898 polygon held across a 62y span (1898-1960); borders may have changed,254
BEN-1960-2025,Benin,1960,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,False,single 1960 polygon held across a 65y span (1960-2025); borders may have changed,0
BFA-1919-1932,Upper Volta (1919-1932),1919,1932,cshapes-2.0,1947.0,assigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),67
BFA-1947-1960,Burkina Faso (1947-1960),1947,1960,cshapes-2.0,1947.0,assigned,True,measured,False,False,vintage 1947 faithful to period 1947-1960,50
BFA-1960-2025,Burkina Faso,1960,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,False,single 1960 polygon held across a 65y span (1960-2025); borders may have changed,0
BGA-1800-1894,Kingdom of Buganda,1800,1894,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BGD-1947-1971,East Pakistan (1947-1971),1947,1971,cshapes-2.0,1971.0,assigned,True,measured,False,False,vintage 1971 faithful to period 1947-1971,8
BGD-1971-2025,Bangladesh,1971,2025,cshapes-2.0,1971.0,assigned,False,assumed_constant,True,False,single 1971 polygon held across a 54y span (1971-2025); borders may have changed,0
BGR-1878-1913,Bulgaria (to 1913),1878,1913,cshapes-europe,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 35y span (1878-1913); borders may have changed,543
BGR-1913-1918,Bulgaria (1913-1918),1913,1918,cshapes-2.0,1913.0,assigned,True,measured,False,False,vintage 1913 faithful to period 1913-1918,228
BGR-1918-1919,Bulgaria (1918-1919),1918,1919,cshapes-2.0,1918.0,assigned,True,measured,False,False,vintage 1918 faithful to period 1918-1919,46
BGR-1919-1940,Bulgaria (1919-1940),1919,1940,cshapes-2.0,1919.0,assigned,True,measured,False,False,vintage 1919 faithful to period 1919-1940,1371
BGR-1940-2025,Bulgaria (1940-2025),1940,2025,cshapes-2.0,1940.0,assigned,True,assumed_constant,True,True,single 1940 polygon held across a 85y span (1940-2025); borders may have changed,980
BHR-1800-2025,Bahrain,1800,2025,cshapes-2.0,1971.0,assigned,True,assumed_constant,True,False,single 1971 polygon held across a 225y span (1800-2025); borders may have changed,0
BHS-1800-2025,Bahamas,1800,2025,gadm-4.1-adm0,,proxy,True,assumed_constant,True,False,polygon present but no recorded vintage year,5
BIH-1992-2025,Bosnia and Herzegovina,1992,2025,cshapes-2.0,1992.0,assigned,False,assumed_constant,True,False,single 1992 polygon held across a 33y span (1992-2025); borders may have changed,0
BKN-1800-1897,Kingdom of Benin,1800,1897,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BLI-1833-1960,British Leeward Islands Colony,1833,1960,gadm-4.1-adm0,,unassigned,True,unassigned,True,False,no polygon (honest gap; never a false territory),20
BLR-1991-2025,Belarus,1991,2025,cshapes-2.0,1991.0,assigned,False,assumed_constant,True,False,single 1991 polygon held across a 34y span (1991-2025); borders may have changed,0
BLX-1850-1999,Belgium-Luxembourg,1850,1999,reporting-areas,,derived,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BLX-1921-1999,Belgium-Luxembourg Economic Union,1921,1999,constructed,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BLZ-1800-2025,Belize,1800,2025,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,True,single 1886 polygon held across a 225y span (1800-2025); borders may have changed,66
BMB-1800-1899,Bemba Kingdom,1800,1899,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BNB-1881-1963,British North Borneo,1881,1963,cshapes-2.0,1889.0,assigned,True,assumed_constant,True,False,single 1889 polygon held across a 82y span (1881-1963); borders may have changed,502
BND-1800-1887,Kingdom of Bundu,1800,1887,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BNU-1800-1893,Bornu Empire,1800,1893,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BNY-1800-1899,Kingdom of Bunyoro,1800,1899,paine-2024,,assigned,True,assumed_constant,True,False,polygon present but no recorded vintage year,0
BOL-1825-1903,Bolivia (to 1903),1825,1903,cshapes-2.0,1886.0,assigned,True,assumed_constant,True,False,single 1886 polygon held across a 78y span (1825-1903); borders may have changed,0
BOL-1903-1909,Bolivia (1903-1909),1903,1909,cshapes-2.0,1903.0,assigned,True,measured,False,False,vintage 1903 faithful to period 1903-1909,0
BOL-1909-1938,Bolivia (1909-1938),1909,1938,cshapes-2.0,1909.0,assigned,True,assumed_constant,True,True,single 1909 polygon held across a 29y span (1909-1938); borders may have changed,320
BOL-1938-2025,Bolivia,1938,2025,cshapes-2.0,1938.0,assigned,True,assumed_constant,True,True,single 1938 polygon held across a 87y span (1938-2025); borders may have changed,361
BRA-1800-2025,Brazil,1800,2025,cshapes-2.0,1960.0,assigned,True,assumed_constant,True,True,single 1960 polygon held across a 225y span (1800-2025); borders may have changed,3484
BRB-1800-2025,Barbados,1800,2025,gadm-4.1-adm0,,proxy,True,assumed_constant,True,False,polygon present but no recorded vintage year,301
