metric,value
bilateral_year_min,1986
bilateral_year_max,2021
production_pin_rows_tonnes,1580582
production_year_min,1961
production_year_max,2024
layer_b_bilateral_overlap_years,0
layer_b_year_max,1960
layer_b_year_min,1850
reporter_item_year_cells,1321747
cells_with_production,309323
entrepot_rows,5839
entrepot_exceeds_availability,3064
entrepot_reexport,2775
entrepot_reporters,168
entrepot_items,199
entrepot_year_min,1986
entrepot_year_max,2021
mirror_flagged_flows,12775
direction_rows,3913
direction_resolved,49
direction_exporter_impossible,18
direction_importer_impossible,31
direction_both_impossible,0
direction_undetermined,3864
direction_whep_keeps_refuted_side,18
direction_resolved_at_1_1x,75
direction_resolved_at_1_5x,63
direction_resolved_at_2_0x,49
direction_resolved_at_3_0x,31
direction_resolved_at_5_0x,19
min_export_t,1000.0
avail_tol,1.1
reexport_factor,10.0
direction_tol,2.0
whep_keeps,exporter
