reporter_code,reporter,partner_code,partner,item_code,item,year,exp_t,imp_t,ratio,prod_t,reporter_imports_t,avail_t,exp_over_avail,imp_over_avail,impossible_side,plausible_side,whep_keeps_plausible
211,Switzerland,105,Israel,236,Soya beans,2005,1.0,208923.0,208923.0,4000.0,48624.0,52624.0,0.0,3.97,importer,exporter,true
104,Ireland,173,Poland,889,"Whole milk, condensed",2015,2.5,30743.6,12297.44,80.0,4848.83,4928.83,0.001,6.238,importer,exporter,true
147,Namibia,144,Mozambique,51,"Beer of barley, malted",2016,177.76,1800140.74,10126.804,270000.0,13843.439999999999,283843.44,0.001,6.342,importer,exporter,true
27,Bulgaria,203,Spain,108,Cereals n.e.c.,2014,1.35,13264.0,9825.185,217.0,243.59999999999997,460.59999999999997,0.003,28.797,importer,exporter,true
202,South Africa,144,Mozambique,1062,"Hen eggs in shell, fresh",2016,9725.93,94560246.43,9722.489,477934.0,0.48,477934.48,0.02,197.852,importer,exporter,true
130,Malawi,144,Mozambique,1062,"Hen eggs in shell, fresh",2016,1229.76,10222222.22,8312.372,22576.24,12.15,22588.390000000003,0.054,452.543,importer,exporter,true
174,Portugal,144,Mozambique,51,"Beer of barley, malted",2016,3573.81,29199427.25,8170.392,647500.0,59754.659999999996,707254.66,0.005,41.286,importer,exporter,true
223,Türkiye,106,Italy,187,"Peas, dry",1987,3.0,23383.0,7794.333,5000.0,0.0,5000.0,0.001,4.677,importer,exporter,true
10,Australia,200,Singapore,869,"Cattle fat, unrendered",2021,32.61,239767.59,7352.579,113624.52,0.02,113624.54000000001,0.0,2.11,importer,exporter,true
106,Italy,79,Germany,894,"Whole milk, evaporated",2009,1.0,6541.0,6541.0,1100.0,1406.0,2506.0,0.0,2.61,importer,exporter,true
158,Niger,41,"China, mainland",289,Sesame seed,2020,35.0,177642.0,5075.486,88189.1,0.08,88189.18000000001,0.0,2.014,importer,exporter,true
138,Mexico,231,United States of America,512,"Other citrus fruit, n.e.c.",1994,15.0,72003.0,4800.2,4048.0,0.0,4048.0,0.004,17.787,importer,exporter,true
138,Mexico,231,United States of America,512,"Other citrus fruit, n.e.c.",1997,12.0,56319.0,4693.25,4035.0,0.0,4035.0,0.003,13.958,importer,exporter,true
15,Belgium-Luxembourg,229,United Kingdom of Great Britain and Northern Ireland,523,Quinces,1995,1.0,3773.0,3773.0,590.0,366.0,956.0,0.001,3.947,importer,exporter,true
68,France,150,Netherlands (Kingdom of the),281,"Safflower-seed oil, crude",2006,1.0,3147.0,3147.0,376.95,114.0,490.95,0.002,6.41,importer,exporter,true
108,Kazakhstan,2,Afghanistan,339,"Other oil seeds, n.e.c.",2017,16.98,45491.2,2679.105,12948.53,348.39,13296.92,0.001,3.421,importer,exporter,true
104,Ireland,229,United Kingdom of Great Britain and Northern Ireland,331,Cottonseed oil,2005,1.0,2580.0,2580.0,0.0,26.0,26.0,0.038,99.231,importer,exporter,true
