reporter_code,reporter,partner_code,partner,item_code,item,year,exp_t,imp_t,ratio,larger_side,keeps_larger_side,nearest_pow10,ratio_is_pow10,ratio_is_halfdecade
211,Switzerland,68,France,631,Ice and snow,1993,1.0,3869064.0,3869064.0,importer,False,7,False,False
10,Australia,255,Belgium,1293,Crude organic material n.e.c.,2004,1813224.0,1.0,1813224.0,exporter,True,6,False,False
114,Kenya,11,Austria,1293,Crude organic material n.e.c.,2007,13301200.0,8.0,1662650.0,exporter,True,6,False,False
231,United States of America,150,Netherlands (Kingdom of the),653,Food wastes,1998,1.0,1540023.0,1540023.0,importer,False,6,False,False
114,Kenya,11,Austria,1293,Crude organic material n.e.c.,2005,1501501.0,1.0,1501501.0,exporter,True,6,False,False
211,Switzerland,68,France,631,Ice and snow,1996,2.0,2725382.0,1362691.0,importer,False,6,False,False
226,Uganda,110,Japan,1293,Crude organic material n.e.c.,2012,6.0,6256650.0,1042775.0,importer,False,6,False,False
10,Australia,117,Republic of Korea,162,Raw cane or beet sugar (centrifugal only),2005,1.0,1010406.0,1010406.0,importer,False,6,True,False
114,Kenya,11,Austria,1293,Crude organic material n.e.c.,2006,987129.0,1.0,987129.0,exporter,True,6,True,False
114,Kenya,48,Costa Rica,1293,Crude organic material n.e.c.,2006,914061.0,1.0,914061.0,exporter,True,6,False,False
226,Uganda,202,South Africa,1293,Crude organic material n.e.c.,2011,174.0,145762800.0,837717.241,importer,False,6,False,False
216,Thailand,115,Cambodia,1293,Crude organic material n.e.c.,2010,836648.0,1.0,836648.0,exporter,True,6,False,False
21,Brazil,194,Saudi Arabia,164,Refined sugar,2007,834304.0,1.0,834304.0,exporter,True,6,False,False
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2000,1.0,802053.0,802053.0,importer,False,6,False,False
150,Netherlands (Kingdom of the),102,Iran (Islamic Republic of),56,Maize (corn),2017,1.75,1398383.25,799076.143,importer,False,6,False,False
10,Australia,131,Malaysia,162,Raw cane or beet sugar (centrifugal only),2001,1.0,762050.0,762050.0,importer,False,6,False,False
226,Uganda,202,South Africa,1293,Crude organic material n.e.c.,2013,134.0,101696600.0,758929.851,importer,False,6,False,False
226,Uganda,202,South Africa,1293,Crude organic material n.e.c.,2007,89.0,63435580.0,712759.326,importer,False,6,False,False
226,Uganda,202,South Africa,1293,Crude organic material n.e.c.,2012,167.0,117848500.0,705679.641,importer,False,6,False,False
