banked_key,label,source,banked_span,queue_state,n_carries,carries,banked_verdict
alaska|fao1952|1937-1951,alaska,fao1952,1937-1951,matched,0,,confirm
albania|juan|1929-1960,albania,juan,1929-1960,matched,0,,confirm
algeria|fao1952|1937-1951,algeria,fao1952,1937-1951,matched,0,,confirm
algeria|iia|1909-1918,algeria,iia,1909-1918,matched,0,,confirm
algeria|iia|1919-1945,algeria,iia,1919-1945,matched,0,,confirm
algeria|iia|1920-1945,algeria,iia,1920-1945,carried,1,algeria|iia|1919-1945@1.0000,confirm
algeria|mitchell|1860-1885,algeria,mitchell,1860-1885,matched,0,,confirm
algeria|mitchell|1886-1901,algeria,mitchell,1886-1901,matched,0,,confirm
algeria|mitchell|1902-1918,algeria,mitchell,1902-1918,matched,0,,confirm
algeria|mitchell|1919-1960,algeria,mitchell,1919-1960,matched,0,,confirm
algeria|mitchell|1920-1960,algeria,mitchell,1920-1960,carried,1,algeria|mitchell|1919-1960@1.0000,confirm
american samoa|fao1952|1937-1951,american samoa,fao1952,1937-1951,matched,0,,confirm
american samoa|iia|1930-1934,american samoa,iia,1930-1934,matched,0,,confirm
angola|iia|1913-1945,angola,iia,1913-1945,matched,0,,confirm
angola|iia|1930-1945,angola,iia,1930-1945,carried,1,angola|iia|1913-1945@1.0000,confirm
angola|mitchell|1908-1960,angola,mitchell,1908-1960,matched,0,,confirm
antigua and barbuda|iia|1909-1945,antigua and barbuda,iia,1909-1945,matched,0,,confirm
argentina|fao1952|1937-1951,argentina,fao1952,1937-1951,matched,0,,confirm
argentina|iia|1909-1945,argentina,iia,1909-1945,matched,0,,confirm
argentina|juan|1900-1960,argentina,juan,1900-1960,carried,2,argentina|juan|1902-1960@0.9672;argentina|juan|1899-1901@0.0328,split_reroute
argentina|juan|1902-1960,argentina,juan,1902-1960,matched,0,,confirm
argentina|mitchell|1902-1960,argentina,mitchell,1902-1960,matched,0,,confirm
australia|fao1952|1937-1951,australia,fao1952,1937-1951,matched,0,,confirm
austria|fao1952|1937-1951,austria,fao1952,1937-1951,matched,0,,confirm
austria|iia|1909-1917,austria,iia,1909-1917,matched,0,,confirm
austria|iia|1918-1918,austria,iia,1918-1918,matched,0,,confirm
austria|iia|1919-1945,austria,iia,1919-1945,matched,0,,confirm
austria|juan|1851-1917,austria,juan,1851-1917,matched,0,,confirm
austria|juan|1919-1960,austria,juan,1919-1960,matched,0,,confirm
azerbaijan|iia|1930-1940,azerbaijan,iia,1930-1940,carried,1,azerbaijan|iia|1929-1940@1.0000,confirm
barbados|mitchell|1850-1960,barbados,mitchell,1850-1960,matched,0,,confirm
basutoland|fao1952|1937-1951,basutoland,fao1952,1937-1951,matched,0,,confirm
bechuanaland|fao1952|1937-1951,bechuanaland,fao1952,1937-1951,matched,0,,confirm
belgian congo|fao1952|1937-1951,belgian congo,fao1952,1937-1951,matched,0,,confirm
belgium|fao1952|1937-1951,belgium,fao1952,1937-1951,matched,0,,confirm
belgium|iia|1909-1945,belgium,iia,1909-1945,matched,0,,confirm
benin|iia|1930-1945,benin,iia,1930-1945,carried,1,benin|iia|1929-1945@1.0000,confirm
benin|mitchell|1921-1959,benin,mitchell,1921-1959,matched,0,,confirm
berlin|fao1952|1949-1949,berlin,fao1952,1949-1949,matched,0,,confirm
bermuda|fao1952|1937-1951,bermuda,fao1952,1937-1951,matched,0,,confirm
bermuda|iia|1930-1945,bermuda,iia,1930-1945,matched,0,,confirm
bolivia|juan|1910-1937,bolivia,juan,1910-1937,matched,0,,confirm
bolivia|juan|1938-1960,bolivia,juan,1938-1960,matched,0,,confirm
botswana|mitchell|1903-1960,botswana,mitchell,1903-1960,matched,0,,confirm
br solomon islands|fao1952|1949-1950,br solomon islands,fao1952,1949-1950,matched,0,,confirm
br west indies barbados|fao1952|1950-1951,br west indies barbados,fao1952,1950-1951,matched,0,,confirm
br west indies jamaica|fao1952|1949-1951,br west indies jamaica,fao1952,1949-1951,matched,0,,confirm
br west indies st lucia|fao1952|1949-1951,br west indies st lucia,fao1952,1949-1951,matched,0,,confirm
brazil|fao1952|1937-1951,brazil,fao1952,1937-1951,matched,0,,confirm
brazil|iia|1910-1945,brazil,iia,1910-1945,matched,0,,confirm
brazil|juan|1909-1960,brazil,juan,1909-1960,matched,0,,confirm
brazil|mitchell|1879-1960,brazil,mitchell,1879-1960,carried,3,brazil|mitchell|1909-1960@0.6341;brazil|mitchell|1879-1902@0.2927;brazil|mitchell|1903-1908@0.0732,confirm
brazil|mitchell|1909-1960,brazil,mitchell,1909-1960,matched,0,,confirm
british borneo brunei|fao1952|1937-1951,british borneo brunei,fao1952,1937-1951,matched,0,,confirm
british borneo north borneo|fao1952|1937-1951,british borneo north borneo,fao1952,1937-1951,matched,0,,confirm
british borneo sarawak|fao1952|1937-1951,british borneo sarawak,fao1952,1937-1951,matched,0,,confirm
british somaliland|fao1952|1937-1951,british somaliland,fao1952,1937-1951,matched,0,,confirm
british togoland|fao1952|1937-1951,british togoland,fao1952,1937-1951,matched,0,,confirm
british virgin islands|iia|1909-1925,british virgin islands,iia,1909-1925,matched,0,,confirm
british west indies bahama islands|fao1952|1937-1951,british west indies bahama islands,fao1952,1937-1951,matched,0,,confirm
british west indies barbados|fao1952|1935-1951,british west indies barbados,fao1952,1935-1951,matched,0,,confirm
british west indies grenada|fao1952|1938-1951,british west indies grenada,fao1952,1938-1951,matched,0,,confirm
british west indies leeward islands|fao1952|1937-1951,british west indies leeward islands,fao1952,1937-1951,matched,0,,confirm
british west indies st vincent|fao1952|1939-1951,british west indies st vincent,fao1952,1939-1951,matched,0,,confirm
british west indies trinidad and tobago|fao1952|1937-1951,british west indies trinidad and tobago,fao1952,1937-1951,matched,0,,confirm
british west indies|fao1952|1937-1951,british west indies,fao1952,1937-1951,matched,0,,confirm
bulgaria|iia|1919-1939,bulgaria,iia,1919-1939,matched,0,,confirm
bulgaria|juan|1890-1912,bulgaria,juan,1890-1912,matched,0,,confirm
bulgaria|juan|1913-1917,bulgaria,juan,1913-1917,matched,0,,confirm
burma|fao1952|1937-1951,burma,fao1952,1937-1951,matched,0,,confirm
cameroon|iia|1923-1945,cameroon,iia,1923-1945,matched,0,,confirm
cameroon|mitchell|1920-1959,cameroon,mitchell,1920-1959,matched,0,,confirm
canada|fao1952|1948-1951,canada,fao1952,1948-1951,carried,2,canada|fao1952|1949-1951@0.7500;canada|fao1952|1931-1948@0.2500,confirm
canada|fao1952|1949-1951,canada,fao1952,1949-1951,matched,0,,confirm
canada|iia|1909-1945,canada,iia,1909-1945,matched,0,,confirm
canada|juan|1900-1948,canada,juan,1900-1948,matched,0,,confirm
canada|juan|1949-1960,canada,juan,1949-1960,matched,0,,confirm
canada|mitchell|1886-1948,canada,mitchell,1886-1948,matched,0,,confirm
canada|mitchell|1949-1960,canada,mitchell,1949-1960,matched,0,,confirm
cape of good hope|sa_colonial|1854-1894,cape of good hope,sa_colonial,1854-1894,matched,0,,confirm
cape verde islands|fao1952|1937-1951,cape verde islands,fao1952,1937-1951,matched,0,,confirm
chile|fao1952|1935-1951,chile,fao1952,1935-1951,matched,0,,confirm
chile|iia|1909-1945,chile,iia,1909-1945,matched,0,,confirm
chile|juan|1860-1883,chile,juan,1860-1883,matched,0,,confirm
chile|juan|1902-1960,chile,juan,1902-1960,matched,0,,confirm
chile|mitchell|1902-1960,chile,mitchell,1902-1960,matched,0,,confirm
china 22 provinces|fao1952|1947-1948,china 22 provinces,fao1952,1947-1948,matched,0,,uncertain
china 22 provinces|fao1952|1949-1949,china 22 provinces,fao1952,1949-1949,matched,0,,uncertain
china 22 provinces|fao1952|1950-1951,china 22 provinces,fao1952,1950-1951,matched,0,,uncertain
china mainland|iia|1922-1931,china mainland,iia,1922-1931,carried,1,china mainland|iia|1922-1932@1.0000,confirm
china mainland|iia|1932-1944,china mainland,iia,1932-1944,matched,0,,confirm
china mainland|iia|1933-1945,china mainland,iia,1933-1945,carried,2,china mainland|iia|1932-1944@0.9231;china mainland|iia|1945-1945@0.0769,confirm
china mainland|mitchell|1932-1944,china mainland,mitchell,1932-1944,matched,0,,confirm
china mainland|mitchell|1950-1960,china mainland,mitchell,1950-1960,matched,0,,confirm
