source,country,item,year,area_ha,prod_t,yield_t_ha,ref_yield,ratio_to_ref,orders_out,looks_like_power_of_ten,prod_t_if_area_ok,area_ha_if_prod_ok
fao1952,Somalia,bananas,1949,3000.0,301263000.0,100421.0,17.012810789120444,5902.669537958915,4,True,51038.43236736133,17708008.61387674
iia,czech republic,grapes,1930,8.0,73236.8,9154.6,3.888888888888889,2354.04,3,False,31.11111111111111,18832.32
iia,czech republic,grapes,1931,23.0,70799.8,3078.2521739130434,3.888888888888889,791.5505590062112,3,True,89.44444444444444,18205.66285714286
mitchell,"china, mainland",millet,1952,4000.0,7612000.0,1903.0,0.8321666666666667,2286.8015221309834,3,False,3328.666666666667,9147206.088523934
iia,"china, mainland",sesame seed,1930,65.0,116298.9,1789.2138461538461,0.4,4473.034615384615,4,False,26.0,290747.24999999994
iia,"china, mainland",sesame seed,1931,64.0,101080.2,1579.378125,0.4,3948.4453124999995,4,False,25.6,252700.49999999997
iia,dr congo,cotton seed,1922,5.0,3518.0,703.6,0.30150615022065946,2333.617405432908,3,False,1.5075307511032974,11668.087027164542
iia,"china, mainland",sesame seed,1932,81.0,31887.5,393.67283950617286,0.4,984.1820987654321,3,True,32.4,79718.75
iia,czech republic,grapes,1932,20.0,6671.4,333.57,3.888888888888889,85.77514285714285,2,True,77.77777777777777,1715.502857142857
iia,australia,hops,1940,500.0,146400.0,292.8,1.1997058823529412,244.05981858298603,2,False,599.8529411764706,122029.90929149301
iia,australia,hops,1941,500.0,137500.0,275.0,1.1997058823529412,229.22284873743564,2,False,599.8529411764706,114611.42436871782
iia,czech republic,"tobacco, unmanufactured",1943,2000.0,542900.0,271.45,1.0944904519490453,248.01495482816466,2,False,2188.9809038980907,496029.9096563294
iia,australia,hops,1943,500.0,133900.0,267.8,1.1997058823529412,223.2213777886737,2,False,599.8529411764706,111610.68889433685
iia,"china, mainland",sesame seed,1933,126.0,33512.4,265.9714285714286,0.4,664.9285714285714,3,True,50.400000000000006,83781.0
