source,country,item,year_first,year_last,n_paired_in_run,n_flagged_cells,median_orders_out,direction,direction_basis,secondary_suspect,area_ratio_vs_basis,prod_ratio_vs_basis,clean_years_in_series,run_area_ha_median,run_prod_t_median,near_area_ha_median,near_prod_t_median,implied_factor,implied_factor_pow10,implied_factor_is_pow10,ref_yield,own_level_yield,own_clean_pairs,repair_anchor_basis,repair_anchor_yield,anchor_factor,noise_band_lo,noise_band_hi,repair_residual,repairable_without_source,repair_factor,years
mitchell,natal,maize,1860,1906,43,12,-2.03,production,peer-range,,1.0,0.0138,2,75000.0,704.0,127500.0,1052.0,108.0,2,True,1.19,,0,peer-countries,1.19,108.0,0.477,1.603,1.08,decimal-shift,100.0,1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1901;1902;1903;1904;1905;1906
juan,austria,grapes,1909,1932,12,3,-2.33,production,within-series,area,4.57,0.0144,10,196400.0,2182.0,43000.0,151500.0,212.0,2,False,3.889,4.1517,10,own-clean-years,4.1517,227.0,0.605,1.466,2.27,not-a-shift,,1909;1910;1911;1912;1913;1914;1915;1916;1917;1930;1931;1932
iia,australia,hops,1933,1944,11,5,2.18,production,within-series,,0.928,125.0,10,500.0,109000.0,539.0,868.8,0.00664,-2,True,1.2,1.6624,10,own-clean-years,1.6624,0.00919,0.87,1.179,0.919,decimal-shift,0.01,1933;1934;1935;1936;1937;1939;1940;1941;1942;1943;1944
iia,czech republic,"tobacco, unmanufactured",1934,1944,10,1,2.1,production,within-series,,0.93,101.0,10,6000.0,856500.0,6450.0,8449.0,0.00786,-2,True,1.094,1.3049,10,own-clean-years,1.3049,0.00937,0.799,1.185,0.937,decimal-shift,0.01,1934;1935;1936;1937;1939;1940;1941;1942;1943;1944
iia,congo,"coffee, green",1922,1934,8,4,-1.35,production,within-series,,0.491,0.0636,3,12760.0,114.4,26000.0,1800.0,26.1,1,False,0.394,0.3444,1,peer-countries,0.3938,26.1,0.381,1.778,2.61,not-a-shift,,1922;1923;1924;1930;1931;1932;1933;1934
iia,ghana,cotton lint,1910,1918,7,7,-2.04,production,within-series,,0.7,0.0204,6,14000.0,18.0,20000.0,882.0,109.0,2,True,0.14,0.0707,3,own-clean-years,0.0707,55.0,0.841,1.089,0.55,shift-outside-noise,,1910;1911;1914;1915;1916;1917;1918
juan,sweden,linseed,1940,1944,5,2,-1.54,production,within-series,,1.51,0.0462,10,43000.0,600.0,28500.0,13000.0,34.6,2,False,0.482,0.5401,10,own-clean-years,0.5401,38.7,0.481,1.949,0.387,not-a-shift,,1940;1941;1942;1943;1944
iia,"china, mainland",sesame seed,1930,1933,4,4,3.29,area,within-series,production,5.13e-05,0.171,3,73.0,67300.0,1422000.0,394600.0,2470.0,3,False,0.4,0.5884,3,own-clean-years,0.5884,1680.0,0.973,1.027,1.68,not-a-shift,,1930;1931;1932;1933
iia,"china, taiwan province of","tobacco, unmanufactured",1934,1940,4,3,2.28,production,within-series,,1.25,170.0,10,1000.0,237600.0,798.5,1395.0,0.00525,-2,True,1.094,1.5789,10,own-clean-years,1.5789,0.00757,0.788,1.171,0.757,shift-outside-noise,,1934;1935;1937;1940
juan,sweden,flax fibre and tow,1940,1942,3,2,-1.83,undetermined,within-series,production,1.48,0.286,10,46000.0,300.0,31000.0,1050.0,,,,0.436,0.2,10,own-clean-years,0.2,,0.8,2.427,,no-direction,,1940;1941;1942
iia,czech republic,grapes,1930,1932,3,3,2.9,area+production,within-series,,0.00107,10.4,3,20.0,70800.0,18700.0,6800.0,,,,3.889,1.95,1,peer-countries,3.8889,,0.422,2.22,,no-direction,,1930;1931;1932
