volume,country,product,variable,unit,year,grid,verdict,paired_variable,paired_value,implied_yield_bound,ref_p10,ref_p90,ref_n,factor_outside,paired_vs_series_median,series_zeros,series_positives
iia_1939_45,british uganda,tobacco,production,tonnes,1942,100,refuted_by_paired_axis,area,5000,0.01,33.0824,145.3879,369,3308.2366,1.6667,3,0
iia_1939_45,british uganda,tobacco,production,tonnes,1943,100,refuted_by_paired_axis,area,5000,0.01,33.0824,145.3879,369,3308.2366,1.6667,3,0
iia_1939_45,british uganda,tobacco,production,tonnes,1944,100,refuted_by_paired_axis,area,3000,0.0167,33.0824,145.3879,369,1984.9419,1,3,0
iia_1939_45,british nigeria,cotton: ginned,area,hectares,1940,1000,refuted_by_paired_axis,production,13300,26.6,0.0667,0.3389,329,78.4839,2.0152,7,0
iia_1939_45,british nigeria,cotton: ginned,area,hectares,1939,1000,refuted_by_paired_axis,production,9200,18.4,0.0667,0.3389,329,54.2896,1.3939,7,0
iia_1939_45,french equatorial africa,cotton: ginned,area,hectares,1939,1000,refuted_by_paired_axis,production,8800,17.6,0.0667,0.3389,329,51.9292,0.7652,1,0
iia_1939_45,british nigeria,cotton: ginned,area,hectares,1941,1000,refuted_by_paired_axis,production,6600,13.2,0.0667,0.3389,329,38.9469,1,7,0
iia_1939_45,british nigeria,cotton: ginned,area,hectares,1942,1000,refuted_by_paired_axis,production,5900,11.8,0.0667,0.3389,329,34.8162,0.8939,7,0
iia_1939_45,british nigeria,cotton: ginned,area,hectares,1943,1000,refuted_by_paired_axis,production,4500,9,0.0667,0.3389,329,26.5547,0.6818,7,0
iia_1939_45,british nigeria,cotton: ginned,area,hectares,1944,1000,refuted_by_paired_axis,production,2900,5.8,0.0667,0.3389,329,17.113,0.4394,7,0
iia_1939_45,dominican republic,tobacco,area,hectares,1939,1000,refuted_by_paired_axis,production,871400,1742.8,33.0824,145.3879,369,11.9872,0.6371,1,0
iia_1938_39,french guadeloupe,cottonseed,area,hectares,1934,1000,paired_value_is_the_outlier,production,3884600,7769.2,0.15,0.6096,266,12744.6939,53580.6897,3,0
iia_1938_39,british antigua,cottonseed,area,hectares,1934,1000,paired_value_is_the_outlier,production,14400,28.8,0.15,0.6096,266,47.2439,72,4,2
iia_1938_39,australia,citrus fruits: other,area,hectares,1933,1000,no_product_reference,production,1700,,,,0,,0.85,5,0
iia_1938_39,australia,citrus fruits: other,area,hectares,1934,1000,no_product_reference,production,1900,,,,0,,0.95,5,0
iia_1938_39,australia,citrus fruits: other,area,hectares,1935,1000,no_product_reference,production,2100,,,,0,,1.05,5,0
iia_1938_39,australia,citrus fruits: other,area,hectares,1936,1000,no_product_reference,production,2100,,,,0,,1.05,5,0
iia_1938_39,australia,citrus fruits: other,area,hectares,1937,1000,no_product_reference,production,2700,,,,0,,1.35,5,0
iia_1938_39,british cyprus,citrus fruits: sweet limes,area,hectares,1935,1000,no_product_reference,production,200,,,,0,,1,4,0
iia_1938_39,british cyprus,citrus fruits: sweet limes,area,hectares,1936,1000,no_product_reference,production,200,,,,0,,1,4,0
iia_1938_39,british dominica,citrus fruits: limes,area,hectares,1933,1000,no_product_reference,production,2600,,,,0,,1,3,2
iia_1938_39,british dominica,citrus fruits: limes,area,hectares,1934,1000,no_product_reference,production,2000,,,,0,,0.7692,3,2
iia_1938_39,british dominica,citrus fruits: limes,area,hectares,1935,1000,no_product_reference,production,2000,,,,0,,0.7692,3,2
iia_1938_39,british montserrat,citrus fruits: limes,area,hectares,1933,1000,no_product_reference,production,600,,,,0,,1.2,2,0
iia_1938_39,british montserrat,citrus fruits: limes,area,hectares,1934,1000,no_product_reference,production,500,,,,0,,1,2,0
iia_1938_39,british northern rhodesia,"citrus fruits: lemons, other",area,hectares,1936,1000,no_product_reference,production,100,,,,0,,,5,0
iia_1938_39,british northern rhodesia,"citrus fruits: lemons, other",area,hectares,1937,1000,no_product_reference,production,100,,,,0,,,5,0
iia_1938_39,british saint lucia,citrus fruits: limes,area,hectares,1933,1000,no_product_reference,production,7100,,,,0,,1.136,1,2
iia_1938_39,british saint vincent,cottonseed: sea island,area,hectares,1933,1000,no_product_reference,production,100,,,,0,,0.2,1,5
iia_1938_39,french algeria,"citrus fruits: lemons, other",area,hectares,1933,1000,no_product_reference,production,3900,,,,0,,1.0263,5,0
iia_1938_39,french algeria,"citrus fruits: lemons, other",area,hectares,1934,1000,no_product_reference,production,3400,,,,0,,0.8947,5,0
iia_1938_39,french algeria,"citrus fruits: lemons, other",area,hectares,1935,1000,no_product_reference,production,3500,,,,0,,0.9211,5,0
iia_1938_39,french algeria,"citrus fruits: lemons, other",area,hectares,1936,1000,no_product_reference,production,3800,,,,0,,1,5,0
iia_1938_39,french algeria,"citrus fruits: lemons, other",area,hectares,1937,1000,no_product_reference,production,4000,,,,0,,1.0526,5,0
iia_1938_39,french senegal,citrus fruits,area,hectares,1933,1000,no_product_reference,production,100,,,,0,,1,2,0
iia_1938_39,french senegal,citrus fruits,area,hectares,1934,1000,no_product_reference,production,100,,,,0,,1,2,0
iia_1939_45,british kenya,beans: dried,production,tonnes,1942,100,grid_can_explain,area,2000,0.025,0.1443,1.3832,233,5.771,2,2,0
iia_1938_39,british cyprus,sesame,production,tonnes,1933,100,grid_can_explain,area,1000,0.05,0.1925,0.8883,148,3.851,1,1,5
iia_1938_39,belgium,vineyards: all,area,hectares,1936,1000,grid_can_explain,production,11800,23.6,1.5278,7.7154,110,3.0588,1.1626,4,0
iia_1938_39,british ceylon,cottonseed,production,tonnes,1933,100,grid_can_explain,area,1000,0.05,0.15,0.6096,266,3.0,1,1,3
iia_1939_45,british kenya,beans: dried,production,tonnes,1943,100,grid_can_explain,area,1000,0.05,0.1443,1.3832,233,2.8855,1,2,0
iia_1938_39,belgium,vineyards: all,area,hectares,1935,1000,grid_can_explain,production,10300,20.6,1.5278,7.7154,110,2.67,1.0148,4,0
iia_1938_39,belgium,vineyards: all,area,hectares,1934,1000,grid_can_explain,production,10000,20,1.5278,7.7154,110,2.5922,0.9852,4,0
iia_1938_39,belgium,vineyards: all,area,hectares,1933,1000,grid_can_explain,production,9700,19.4,1.5278,7.7154,110,2.5144,0.9557,4,0
iia_1938_39,british ceylon,cotton: ginned,production,tonnes,1933,100,grid_can_explain,area,1000,0.05,0.075,0.3007,267,1.5,1,5,0
iia_1938_39,british ceylon,cotton: ginned,production,tonnes,1934,100,grid_can_explain,area,1000,0.05,0.075,0.3007,267,1.5,1,5,0
iia_1938_39,british ceylon,cotton: ginned,production,tonnes,1935,100,grid_can_explain,area,1000,0.05,0.075,0.3007,267,1.5,1,5,0
iia_1938_39,british ceylon,cotton: ginned,production,tonnes,1936,100,grid_can_explain,area,1000,0.05,0.075,0.3007,267,1.5,1,5,0
iia_1938_39,british ceylon,cotton: ginned,production,tonnes,1937,100,grid_can_explain,area,1000,0.05,0.075,0.3007,267,1.5,1,5,0
iia_1938_39,french laos,cotton: ginned,production,tonnes,1936,100,grid_can_explain,area,1000,0.05,0.075,0.3007,267,1.5,1,1,3
iia_1938_39,french cochinchina,coffee: raw,production,tonnes,1933,100,grid_can_explain,area,1000,0.05,0.0669,0.5912,133,1.3387,1,4,2
iia_1938_39,french cochinchina,coffee: raw,production,tonnes,1934,100,grid_can_explain,area,1000,0.05,0.0669,0.5912,133,1.3387,1,4,2
iia_1938_39,italian libya: tripolitania,tobacco,area,hectares,1937,1000,grid_can_explain,production,85000,170,44.1233,174.4262,325,0.9746,1.2427,5,0
iia_1938_39,australia,olive grove,area,hectares,1936,1000,grid_can_explain,production,700,1.4,0.2134,1.5526,35,0.9017,1.5556,5,0
iia_1938_39,italy,sesame,area,hectares,1936,1000,grid_can_explain,production,400,0.8,0.1925,0.8883,148,0.9006,1.3333,3,0
iia_1938_39,italy,sesame,area,hectares,1937,1000,grid_can_explain,production,400,0.8,0.1925,0.8883,148,0.9006,1.3333,3,0
iia_1938_39,french dahomey,cacao: raw,area,hectares,1933,1000,grid_can_explain,production,300,0.6,0.05,0.7092,113,0.8461,1,4,0
iia_1938_39,french dahomey,cacao: raw,area,hectares,1934,1000,grid_can_explain,production,300,0.6,0.05,0.7092,113,0.8461,1,4,0
iia_1938_39,french dahomey,cacao: raw,area,hectares,1935,1000,grid_can_explain,production,300,0.6,0.05,0.7092,113,0.8461,1,4,0
