iso3c,polity_name,country,year_start,year_end,polity_code,rows
AFG,Afghanistan,Afghanistan,1954,1954,AFG-1919-2025,7
AFG,Afghanistan,Afghanistan,1956,1960,AFG-1919-2025,38
AGO,Angola,Angola,1908,1916,ANG-1905-1975,9
AGO,Angola,Angola,1918,1950,ANG-1905-1975,133
AGO,Angola,Angola,1952,1960,ANG-1905-1975,58
ALB,Albania,Albania,1929,1941,ALB-1913-2025,263
ALB,Albania,Albania,1944,1960,ALB-1913-2025,141
ARG,Argentina,Argentina,1870,1870,ARG-1800-1899,1
ARG,Argentina,Argentina,1872,1872,ARG-1800-1899,7
ARG,Argentina,Argentina,1875,1876,ARG-1800-1899,8
ARG,Argentina,Argentina,1879,1898,ARG-1800-1899,79
ARG,Argentina,Argentina,1899,1901,ARG-1899-1902,46
ARG,Argentina,Argentina,1902,1960,ARG-1902-2025,3215
AUS,Australia,Australia,1850,1900,AUS-1800-1901,725
AUS,Australia,Australia,1901,1960,AUS-1901-2025,1333
AUT,Austria,Austria,1851,1851,AUT-1800-1918,7
AUT,Austria,Austria,1854,1917,AUT-1800-1918,1037
AUT,Austria,Austria,1918,1918,AUT-1918-1919,31
AUT,Austria,Austria,1919,1960,AUT-1919-2025,1450
BEL,Belgium,Belgium,1850,1960,BEL-1831-2025,1732
BEN,Benin,Benin,1921,1922,BEN-1898-1960,8
BEN,Benin,Benin,1925,1937,BEN-1898-1960,50
BEN,Benin,Benin,1939,1947,BEN-1898-1960,27
BEN,Benin,Benin,1950,1959,BEN-1898-1960,37
BEN,Benin,Benin,1960,1960,BEN-1960-2025,6
BFA,Burkina Faso,Burkina Faso,1948,1954,BFA-1947-1960,25
BFA,Burkina Faso,Burkina Faso,1957,1959,BFA-1947-1960,17
BFA,Burkina Faso,Burkina Faso,1960,1960,BFA-1960-2025,10
BGD,Bangladesh,Bangladesh,1953,1960,BGD-1947-1971,8
BGR,Bulgaria,Bulgaria,1890,1890,BGR-1878-1913,4
BGR,Bulgaria,Bulgaria,1895,1912,BGR-1878-1913,396
BGR,Bulgaria,Bulgaria,1913,1917,BGR-1913-1918,174
BGR,Bulgaria,Bulgaria,1918,1918,BGR-1918-1919,35
BGR,Bulgaria,Bulgaria,1919,1939,BGR-1919-1940,842
BGR,Bulgaria,Bulgaria,1940,1960,BGR-1940-2025,789
BOL,Bolivia,Bolivia,1910,1910,BOL-1909-1938,7
BOL,Bolivia,Bolivia,1923,1937,BOL-1909-1938,176
BOL,Bolivia,Bolivia,1938,1960,BOL-1938-2025,236
BRA,Brazil,Brazil,1879,1902,BRA-1800-1903,32
BRA,Brazil,Brazil,1903,1908,BRA-1903-1909,24
BRA,Brazil,Brazil,1909,1960,BRA-1909-2025,2534
BRB,Barbados,Barbados,1850,1960,BRB-1800-2025,165
BWA,Botswana,Botswana,1903,1903,BEC-1885-1966,1
BWA,Botswana,Botswana,1911,1911,BEC-1885-1966,2
BWA,Botswana,Botswana,1921,1960,BEC-1885-1966,125
CAF,Central African Republic,Central African Republic,1958,1959,CAF-1919-1960,2
CAF,Central African Republic,Central African Republic,1960,1960,CAF-1960-2025,1
CAN,Canada,Canada,1850,1865,CAN-1800-1866,44
CAN,Canada,Canada,1866,1869,CAN-1866-1870,4
CAN,Canada,Canada,1870,1885,CAN-1870-1886,55
CAN,Canada,Canada,1886,1948,CAN-1886-1949,1827
CAN,Canada,Canada,1949,1960,CAN-1949-2025,609
